Title,Artist,Album,Duration,"Media Type"
"We Used To","Dolly Parton","Dolly (Disc 3)",00:03:11,track
"You're The Only One","Dolly Parton","Dolly (Disc 3)",00:03:19,track
"Catch The Wind",Donovan,"100 Hits - Classic 60s Disc 4",00:02:54,track
Colours,Donovan,"The British Invasion : The History of British Rock Vol.3",00:02:47,track
Atlantis,Donovan,"Simply The Best Of The 60's CD3",00:05:01,track
"Hurdy Gurdy Man",Donovan,"The British Invasion : The History of British Rock Vol.8",00:03:16,track
"Mellow Yellow",Donovan,"Greatest Hits...And More",00:03:41,track
Lalena,Donovan,"The British Invasion : The History of British Rock Vol.9",00:02:58,track
"Universal Soldier",Donovan,Unknown,00:02:13,track
"Candle in the Wind","Elton John","Greatest Hits [1992 Polydor 314 512 532-2] USA",00:03:49,track
"Crocodile Rock","Elton John","Greatest Hits [1992 Polydor 314 512 532-2] USA",00:03:55,track
"Don't Go Breaking My Heart","Elton John","Greatest Hits Volume II [1984 Carrere 96.088] France",00:04:23,track
"Goodbye Yellow Brick Road","Elton John","Greatest Hits [1992 Polydor 314 512 532-2] USA",00:03:14,track
"I Saw Her Standing There","Elton John feat. John Lennon","Rare Masters CD2 [1992 DJM Records 514 305-2] Germany",00:03:51,track
"I've Been Loving You","Elton John","Rare Masters CD1 [1992 DJM Records 514 305-2] Germany",00:03:18,track
"I'm Still Standing","Elton John","Greatest Hits Volume III 1979-1987 [1987 Geffen 9 24153-2] USA",00:03:04,track
"It's Me That You Need","Elton John","Lady Samantha [1998 Phonogram 832 019-2] Germany",00:03:59,track
"Your Song","Elton John","Greatest Hits [1992 Polydor 314 512 532-2] USA",00:04:01,track
"Beautiful Girl",INXS,"Shine Like It Does - The Anthology - 1979-1997 (disc 2)",00:03:11,track
"Elegantly Wasted",INXS,"Shine Like It Does - The Anthology - 1979-1997 (disc 2)",00:03:54,track
"Devil Inside",INXS,"Shine Like It Does - The Anthology - 1979-1997 (disc 2)",00:03:57,track
"Need You Tonight",INXS,"Shine Like It Does - The Anthology - 1979-1997 (disc 2)",00:03:04,track
"Never Tear Us Apart",INXS,"Shine Like It Does - The Anthology - 1979-1997 (disc 2)",00:03:06,track
"Suicide Blonde",INXS,Unknown,00:03:51,track
"A Thousand Kisses Deep","Leonard Cohen","Ten New Songs",00:06:25,track
"Alexandra Leaving","Leonard Cohen","Ten New Songs",00:05:22,track
"Ain't No Cure for Love","Leonard Cohen","I'm Your Man",00:04:49,track
Anthem,"Leonard Cohen","The Future",00:06:05,track
