artist_raw,track_count,ignore
Public Image Limited,2,false
Ralph Font & His Orchestra,2,false
Ramones,2,false
Rebekah Del Rio,2,false
Rezurex,2,false
Rick Nelson,2,false
Riley Downing,2,false
Rio and the Rockabilly Revival,2,false
Robert Cray,2,false
Robert Plant and Allison Krauss,2,false
Robotron,2,false
Rock'N'Hall,2,false
Rollin' Coffin,2,false
Roomful Of Blues,2,false
Roxy Music,2,false
Rufus Wainwright,2,false
Sam & Dave,2,false
"Samantha Fish, Jesse Dayton",2,false
Sammy Kershaw,2,false
Sarah Brightman,2,false
Say Sue Me,2,false
Say Sue Me 세이수미,2,false
Screamin' Sins,2,false
Season Of Nightmares,2,false
Sgt Fury,2,false
Shakin Guts,2,false
Shakin' Guts,2,false
Sharlet Crooks,2,false
Shaye Zadravec,2,false
Shelby Lynne & Allison Moorer,2,false
Sheverb,2,false
Shovels and Rope,2,false
Shudder To Think,2,false
Silvano Chimenti,2,false
Simon and Garfunkel,2,false
Sofia Talvik,2,false
Solomon Burke,2,false
Sonny & Cher,2,false
Spud Sims & the Beltways,2,false
Stan Getz,2,false
Steve Harley & Cockney Rebel,2,false
Strait Jacket,2,false
Strawberry Alarm Clock,2,false
Sue Moreno & Jack Rabbit Slim,2,false
Surfer Joe,2,false
Susanna Hoffs,2,false
Sven Wunder,2,false
T-Bird Gang,2,false
T-Bone Walker,2,false
Take Vibe,2,false
Tangentg,2,false
Teddy Pendergrass,2,false
Television,2,false
Thalia Zedek Band,2,false
The Andrews Sisters,2,false
